"n1","n2","power","cost_used"
270,8993,0.800000455208627,9533
271,7789,0.800000686545679,8331
272,6875,0.800000084239756,7419
273,6159,0.800001870328298,6705
274,5581,0.800000817212789,6129
275,5106,0.800002203023869,5656
276,4708,0.800001044817181,5260
277,4370,0.800001627551285,4924
278,4079,0.800000425466152,4635
279,3827,0.800003324296429,4385
280,3606,0.800005941794975,4166
281,3410,0.800005928218228,3972
282,3235,0.800002734689411,3799
283,3079,0.800007182107202,3645
284,2938,0.800006626830411,3506
285,2810,0.800004077313568,3380
286,2694,0.80000743697294,3266
287,2588,0.800011769144339,3162
288,2490,0.800006647935762,3066
289,2400,0.800004522854435,2978
290,2317,0.80000456453424,2897
291,2240,0.800003067444727,2822
292,2169,0.800011741667996,2753
293,2102,0.80000520906207,2688
294,2040,0.800009825696909,2628
295,1982,0.800014685453776,2572
296,1927,0.800006514552698,2519
297,1876,0.800014224406068,2470
298,1828,0.800022529108413,2424
299,1782,0.800012455855795,2380
300,1739,0.800015714184874,2339
301,1698,0.800009872396885,2300
302,1660,0.800029479799414,2264
303,1623,0.800020343280413,2229
304,1588,0.800016376469009,2196
305,1555,0.800022490223566,2165
306,1523,0.800008732887007,2135
307,1493,0.800013904392913,2107
308,1464,0.800005480394774,2080
309,1437,0.800025758730257,2055
310,1411,0.800039651003767,2031
311,1385,0.800006386444298,2007
312,1361,0.800013537388654,1985
313,1338,0.800022077825086,1964
314,1316,0.800034938885757,1944
315,1294,0.800005568380083,1924
316,1274,0.800034781323651,1906
317,1254,0.800025034845336,1888
318,1235,0.800029464717011,1871
319,1217,0.800051455600293,1855
320,1199,0.800036926356521,1839
321,1182,0.800044165832685,1824
322,1165,0.80001595241736,1809
323,1149,0.800013796180654,1795
324,1134,0.800042002942699,1782
325,1119,0.800038294026219,1769
326,1104,0.800001534824417,1756
327,1090,0.80000098471952,1744
328,1077,0.800040988173252,1733
329,1064,0.800052284099963,1722
330,1051,0.80003416151211,1711
331,1039,0.80006310945119,1701
332,1027,0.800064751489966,1691
333,1015,0.800038367925188,1681
334,1004,0.800066039508188,1672
335,993,0.800068026461763,1663
336,982,0.800043697930988,1654
337,972,0.800080819077268,1646
338,961,0.800003888606521,1637
339,952,0.800083435914917,1630
340,942,0.800047647346029,1622
341,933,0.800082467951152,1615
342,924,0.800095245394093,1608
343,915,0.800085524997779,1601
344,906,0.800052832868262,1594
345,898,0.800100422511104,1588
346,889,0.800022407225458,1581
347,881,0.800027758292006,1575
348,873,0.800012345413713,1569
349,866,0.800087399711929,1564
350,858,0.800031354575027,1558
351,851,0.800069043475175,1553
352,844,0.80008845766337,1548
353,837,0.800089340408578,1543
354,830,0.800071380823843,1538
355,823,0.800034256510842,1533
356,817,0.800103194244471,1529
357,810,0.800028917895877,1524
358,804,0.800064182619321,1520
359,798,0.800083203664144,1516
360,792,0.800085749724857,1512
361,786,0.800071915683513,1508
362,780,0.800040500534281,1504
363,775,0.800131833818651,1501
364,769,0.800068545273208,1497
365,764,0.800130973135588,1494
366,758,0.800033925389738,1490
367,753,0.800066703718536,1487
368,748,0.800085367959658,1484
369,743,0.800090153230966,1481
370,738,0.800080008474927,1478
371,733,0.80005525367234,1475
372,728,0.800015673104768,1472
373,724,0.800121362834185,1470
374,719,0.800053798216738,1467
375,715,0.800135256103361,1465
376,710,0.800039071255478,1462
377,706,0.800095791815137,1460
378,702,0.800140776421691,1458
379,697,0.8000016151667,1455
380,693,0.800021243570444,1453
381,689,0.800028939967406,1451
382,685,0.800024588539026,1449
383,681,0.800007788466331,1447
384,678,0.800161985102658,1446
385,674,0.800122921810192,1444
386,670,0.800071375692107,1442
387,666,0.800007148426078,1440
388,663,0.800121637540038,1439
389,659,0.800034066574334,1437
390,656,0.800128906425249,1436
391,652,0.800017538464606,1434
392,649,0.800092834527101,1433
393,646,0.800159087754989,1432
394,642,0.800012492425241,1430
395,639,0.800058551208031,1429
396,636,0.800095377671607,1428
397,633,0.800122910964081,1427
398,630,0.800140884392778,1426
399,627,0.800149595233463,1425
400,624,0.80014881713291,1424
401,621,0.800138483492415,1423
402,618,0.800118525991845,1422
403,615,0.800088874564814,1421
404,612,0.800049457362866,1420
405,609,0.800000200711178,1419
406,607,0.800169973397875,1419
407,604,0.800103103360886,1418
408,601,0.800026194003501,1417
409,599,0.800174341522445,1417
410,596,0.800079491581845,1416
411,594,0.800213597725313,1416
412,591,0.800100594030019,1415
413,589,0.800220219567617,1415
414,586,0.800088836799455,1414
415,584,0.800194486114077,1414
416,581,0.800044492810865,1413
417,579,0.800135712772578,1413
418,577,0.800220557633394,1413
419,574,0.800043507314438,1412
420,572,0.800113722861855,1412
421,570,0.800177489937956,1412
422,568,0.800234788595577,1412
423,565,0.800021806383778,1411
424,563,0.800064198449297,1411
425,561,0.800100039190469,1411
426,559,0.800129305820312,1411
427,557,0.800151974882581,1411
428,555,0.800168045657431,1411
429,553,0.800177438529072,1411
430,551,0.800180160598995,1411
431,549,0.800176185612398,1411
432,547,0.800165486602547,1411
433,545,0.800148035883404,1411
434,543,0.80012380503961,1411
435,541,0.800092764918227,1411
436,539,0.800054885619254,1411
437,537,0.800010136718609,1411
438,536,0.800253030348953,1412
439,534,0.800196679565535,1412
440,532,0.800133378005441,1412
441,530,0.8000631076049,1412
442,529,0.800288294640222,1413
443,527,0.800206268649468,1413
444,525,0.800117185854634,1413
445,523,0.800021009900298,1413
446,522,0.800228458362118,1414
447,520,0.800120380759685,1414
448,518,0.800005123987533,1414
449,517,0.800199510382462,1415
450,515,0.800072234342356,1415
451,514,0.800258321445494,1416
452,512,0.800118956458474,1416
453,511,0.800296734225323,1417
454,509,0.80014520732215,1417
455,508,0.800314663615852,1418
456,506,0.80015089822982,1418
457,505,0.800312018685998,1419
458,503,0.80013593458858,1419
459,502,0.800288702584263,1420
460,500,0.800100215821973,1420
461,499,0.800244612446273,1421
462,497,0.800043607132792,1421
463,496,0.800179609855861,1422
464,495,0.800312132965031,1423
465,493,0.800093635447117,1423
466,492,0.800217741844287,1424
467,491,0.800338371342826,1425
468,489,0.800102204494578,1425
469,488,0.800214388490245,1426
470,487,0.800323096494942,1427
471,485,0.800069098919169,1427
472,484,0.800169327956707,1428
473,483,0.800266080082025,1429
474,482,0.800359357463125,1430
475,480,0.800082314703962,1430
476,479,0.800167069964715,1431
477,478,0.800248347182702,1432
478,477,0.800326147848702,1433
479,475,0.800025789777449,1433
480,474,0.800095017269823,1434
481,473,0.800160762501084,1435
482,472,0.800223027004423,1436
483,471,0.80028181079193,1437
484,470,0.800337114317401,1438
485,468,0.80000283698539,1438
486,467,0.800049490311797,1439
487,466,0.800092654126285,1440
488,465,0.800132328228745,1441
489,464,0.800168512262742,1442
490,463,0.800201205716104,1443
491,462,0.80023040792008,1444
492,461,0.800256117962208,1445
493,460,0.800278334492801,1446
494,459,0.800297056823188,1447
